order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Start Here,Introduction,start-here/intro,circle-play,/lessons/start-here/intro,The introduction to this course.
01B,Start Here,Tools,start-here/tools,circle-play,/lessons/start-here/tools,What tools we will be using for this course
01C,Start Here,What We're Building,start-here/what-we-are-building,circle-play,/lessons/start-here/what-we-are-building,What you'll actually be building in this course
02A,API basics in Node.js,Vanilla API,api-basics-in-node/vanilla-server,cloud,/lessons/api-basics-in-node/vanilla-server,"Build a vanilla, no framework used, API in node.js"
02B,API basics in Node.js,API Anatomy,api-basics-in-node/api-anatomy,cloud,/lessons/api-basics-in-node/api-anatomy,""
03A,Using Express,What is Express.js,intro-to-express/express-enters-the-chat,bolt-lightning,/lessons/intro-to-express/express-enters-the-chat,What is Express.js and why would you want to use it.
03B,Using Express,Easy Mode with Express,intro-to-express/easy-mode-with-express,bolt-lightning,/lessons/intro-to-express/easy-mode-with-express,""
04A,Intro to Prisma,What Prisma,intro-to-prisma/what-is-prisma,database,/lessons/intro-to-prisma/what-is-prisma,What is Prisma and why do we need it
04B,Intro to Prisma,DB Setup,intro-to-prisma/db-setup,database,/lessons/intro-to-prisma/db-setup,Setup our DB and install Prisma
05A,Data Modeling,Design a Schema,data-modeling/design-a-schema,shapes,/lessons/data-modeling/design-a-schema,How to design a schema
05B,Data Modeling,Creating Models,data-modeling/creating-models,shapes,/lessons/data-modeling/creating-models,Creating DB models with with Primsa
05C,Data Modeling,First Migrations,data-modeling/first-migrations,shapes,/lessons/data-modeling/first-migrations,Migrating the DB
06A,Routes and Middleware,Creating Routes,routes-and-middleware/creating-routes,arrows-alt,/lessons/routes-and-middleware/creating-routes,""
06B,Routes and Middleware,Middleware,routes-and-middleware/middleware,arrows-alt,/lessons/routes-and-middleware/middleware,""
06C,Routes and Middleware,Errata - Nodemon Setup,routes-and-middleware/errata-nodemon,arrows-alt,/lessons/routes-and-middleware/errata-nodemon,Auto-restart the server with Nodemon
07A,Auth,Auth Middleware,auth/auth-middleware,lock,/lessons/auth/auth-middleware,""
07B,Auth,Users,auth/users,lock,/lessons/auth/users,""
08A,Route Handlers,Validating Inputs,route-handlers/validating-inputs,hand-sparkles,/lessons/route-handlers/validating-inputs,Input validation for express requests
08B,Route Handlers,Handlers,route-handlers/handlers,hand-sparkles,/lessons/route-handlers/handlers,Create handlers for our routes
09A,Error Handlers,Error Handler,error-handlers/error-handler,times,/lessons/error-handlers/error-handler,""
09B,Error Handlers,Custom Handler,error-handlers/custom-handler,times,/lessons/error-handlers/custom-handler,""
10A,Global Config,Env and Stage,global-config/env-and-stage,globe-africa,/lessons/global-config/env-and-stage,""
10B,Global Config,Configs,global-config/configs,globe-africa,/lessons/global-config/configs,""
11A,Perf,Async Everything,perf/async-everything,tachometer-fast,/lessons/perf/async-everything,""
12A,Testing,Setting up Test,testing/setting-up-test,flask,/lessons/testing/setting-up-test,""
12B,Testing,Types of Tests,testing/types-of-tests,flask,/lessons/testing/types-of-tests,""
13A,Deployment and Next Steps,Deploying,deployment-and-next-steps/deploying,info-circle,/lessons/deployment-and-next-steps/deploying,""
13B,Deployment and Next Steps,Next Steps,deployment-and-next-steps/next-steps,info-circle,/lessons/deployment-and-next-steps/next-steps,""
